@RELATION air_quality

@ATTRIBUTE pm25 REAL
@ATTRIBUTE pm10 REAL
@ATTRIBUTE o3 REAL
@ATTRIBUTE no2 REAL
@ATTRIBUTE so2 REAL
@ATTRIBUTE quality {good,hazardous,moderate,unhealthy,unhealthy_for_sensitive_groups,very_unhealthy}

@DATA
62, 42, 48, 7, 3, moderate
68, 31, 35, 12, 3, moderate
38, 45, 32, 13, 3, good
63, 18, 30, 6, 2, moderate
30, 27, 40, 11, 2, good
39, 47, 46, 17, 3, good
70, 49, 64, 19, 3, moderate
57, 45, 87, 11, 3, moderate
68, 24, 37, 7, 3, moderate
28, 30, 57, 8, 3, moderate
41, 34, 87, 5, 3, moderate
52, 45, 108, 6, 3, unhealthy_for_sensitive_groups
78, 36, 68, 6, 3, moderate
63, 48, 55, 12, 3, moderate
74, 39, 72, 9, 3, moderate
64, 41, 75, 8, 4, moderate
65, 38, 47, 9, 3, moderate
62, 15, 43, 5, 2, moderate
28, 13, 42, 6, 2, good
23, 39, 46, 11, 2, good
68, 29, 36, 8, 3, moderate
48, 32, 54, 9, 2, moderate
44, 35, 35, 13, 3, good
31, 39, 54, 13, 3, moderate
43, 46, 53, 13, 3, moderate
57, 34, 59, 11, 3, moderate
43, 41, 48, 14, 2, good
63, 34, 53, 10, 3, moderate
53, 41, 60, 13, 2, moderate
66, 36, 38, 13, 3, moderate
49, 30, 37, 11, 2, good
46, 32, 45, 10, 3, good
44, 40, 53, 11, 3, moderate
62, 28, 43, 8, 2, moderate
37, 38, 34, 10, 2, good
61, 31, 41, 4, 2, moderate
54, 38, 50, 7, 2, moderate
73, 23, 38, 4, 4, moderate
45, 28, 46, 5, 2, good
58, 14, 34, 3, 2, moderate
24, 15, 16, 4, 2, good
16, 17, 39, 5, 2, good
22, 12, 38, 5, 1, good
43, 22, 41, 6, 1, good
48, 21, 45, 6, 1, good
67, 20, 38, 4, 2, moderate
40, 27, 38, 5, 2, good
44, 17, 45, 4, 2, good
29, 29, 90, 6, 2, moderate
61, 37, 62, 5, 2, moderate
80, 36, 50, 6, 2, moderate
69, 43, 48, 5, 1, moderate
82, 33, 42, 7, 2, moderate
60, 24, 35, 6, 2, moderate
42, 23, 26, 11, 3, good
37, 37, 84, 9, 3, moderate
63, 31, 41, 7, 3, moderate
53, 26, 38, 4, 2, moderate
51, 16, 50, 4, 3, moderate
31, 15, 44, 4, 2, good
43, 18, 35, 5, 2, good
34, 20, 38, 8, 2, good
40, 31, 68, 7, 3, moderate
61, 26, 45, 7, 3, moderate
55, 20, 25, 7, 2, moderate
32, 40, 65, 11, 4, moderate
154, 78, 96, 15, 4, unhealthy
154, 28, 41, 8, 2, unhealthy
58, 48, 62, 12, 3, moderate
98, 22, 44, 5, 2, moderate
48, 18, 44, 5, 2, good
46, 22, 49, 8, 2, good
58, 47, 77, 10, 3, moderate
101, 45, 77, 9, 3, unhealthy_for_sensitive_groups
97, 44, 60, 8, 2, moderate
99, 55, 69, 14, 5, moderate
96, 29, 41, 7, 2, moderate
80, 18, 38, 3, 2, moderate
25, 15, 39, 5, 2, good
22, 46, 92, 9, 3, moderate
99, 60, 93, 6, 3, moderate
154, 45, 45, 5, 3, unhealthy
105, 19, 42, 5, 3, unhealthy_for_sensitive_groups
42, 4, 27, 4, 3, good
11, 39, 99, 5, 5, moderate
90, 42, 81, 8, 4, moderate
79, 29, 48, 7, 4, moderate
58, 14, 57, 2, 3, moderate
25, 29, 48, 7, 4, good
46, 22, 43, 11, 4, good
32, 27, 38, 8, 4, good
47, 18, 39, 6, 4, good
38, 19, 40, 6, 4, good
42, 25, 46, 7, 4, good
56, 22, 52, 5, 4, moderate
45, 15, 33, 5, 4, good
27, 32, 84, 5, 5, moderate
25, 34, 77, 5, 2, moderate
70, 75, 80, 7, 2, moderate
98, 64, 81, 6, 2, moderate
82, 33, 44, 7, 2, moderate
53, 37, 52, 10, 3, moderate
59, 50, 68, 6, 2, moderate
82, 52, 54, 6, 3, moderate
72, 45, 43, 5, 3, moderate
80, 31, 35, 6, 2, moderate
70, 8, 37, 4, 1, moderate
25, 25, 32, 7, 2, good
46, 21, 45, 7, 2, good
48, 31, 49, 9, 2, good
44, 53, 99, 12, 3, moderate
58, 63, 84, 17, 4, moderate
98, 59, 97, 10, 4, moderate
64, 29, 38, 5, 3, moderate
64, 11, 49, 2, 1, moderate
16, 25, 71, 5, 3, moderate
58, 42, 74, 8, 2, moderate
93, 37, 75, 5, 2, moderate
96, 31, 72, 6, 2, moderate
76, 30, 49, 6, 2, moderate
74, 45, 58, 9, 4, moderate
97, 74, 101, 12, 4, unhealthy_for_sensitive_groups
107, 33, 47, 5, 2, unhealthy_for_sensitive_groups
70, 26, 33, 7, 1, moderate
67, 36, 37, 7, 2, moderate
59, 62, 89, 14, 4, moderate
118, 54, 70, 18, 3, unhealthy_for_sensitive_groups
108, 41, 58, 12, 3, unhealthy_for_sensitive_groups
60, 24, 49, 8, 1, moderate
46, 18, 44, 7, 1, good
44, 60, 46, 10, 2, moderate
104, 46, 36, 10, 3, unhealthy_for_sensitive_groups
46, 47, 38, 8, 2, good
48, 66, 57, 7, 2, moderate
44, 52, 55, 5, 2, moderate
50, 22, 47, 6, 1, good
51, 50, 64, 7, 1, moderate
120, 60, 58, 10, 1, unhealthy_for_sensitive_groups
140, 21, 46, 6, 1, unhealthy_for_sensitive_groups
47, 24, 38, 8, 2, good
47, 39, 65, 10, 2, moderate
64, 37, 55, 6, 2, moderate
72, 29, 43, 7, 2, moderate
58, 42, 44, 8, 1, moderate
94, 38, 66, 10, 4, moderate
88, 44, 67, 12, 2, moderate
91, 32, 59, 10, 2, moderate
70, 38, 54, 9, 2, moderate
80, 48, 62, 8, 2, moderate
110, 39, 48, 6, 3, unhealthy_for_sensitive_groups
57, 35, 58, 7, 2, moderate
64, 24, 47, 6, 2, moderate
54, 26, 52, 6, 1, moderate
29, 60, 44, 15, 5, moderate
92, 76, 55, 15, 5, moderate
144, 81, 41, 5, 2, unhealthy_for_sensitive_groups
59, 39, 39, 4, 2, moderate
31, 73, 75, 9, 4, moderate
105, 76, 51, 13, 4, unhealthy_for_sensitive_groups
117, 43, 37, 8, 2, unhealthy_for_sensitive_groups
51, 36, 35, 8, 2, moderate
58, 50, 48, 10, 3, moderate
91, 67, 56, 16, 4, moderate
118, 75, 54, 14, 4, unhealthy_for_sensitive_groups
135, 77, 46, 20, 8, unhealthy_for_sensitive_groups
131, 78, 76, 13, 6, unhealthy_for_sensitive_groups
138, 79, 72, 11, 4, unhealthy_for_sensitive_groups
159, 59, 63, 6, 3, unhealthy
128, 53, 58, 5, 2, unhealthy_for_sensitive_groups
111, 70, 59, 11, 3, unhealthy_for_sensitive_groups
158, 51, 43, 9, 1, unhealthy
69, 47, 37, 8, 2, moderate
43, 66, 50, 6, 4, moderate
60, 59, 47, 7, 3, moderate
69, 42, 45, 13, 2, moderate
63, 47, 54, 13, 3, moderate
82, 61, 87, 10, 4, moderate
95, 55, 85, 7, 2, moderate
98, 54, 86, 7, 2, moderate
116, 59, 87, 9, 4, unhealthy_for_sensitive_groups
100, 36, 35, 9, 2, moderate
86, 39, 26, 8, 4, moderate
94, 30, 37, 5, 1, moderate
70, 32, 37, 9, 2, moderate
73, 32, 43, 6, 2, moderate
71, 29, 35, 9, 1, moderate
75, 39, 43, 10, 1, moderate
94, 29, 29, 9, 1, moderate
79, 50, 31, 12, 2, moderate
102, 53, 37, 13, 2, unhealthy_for_sensitive_groups
83, 65, 50, 7, 1, moderate
126, 33, 33, 6, 1, unhealthy_for_sensitive_groups
46, 48, 33, 9, 3, good
59, 49, 36, 5, 2, moderate
42, 51, 27, 5, 1, moderate
40, 77, 25, 23, 7, moderate
135, 105, 63, 18, 6, unhealthy_for_sensitive_groups
161, 48, 20, 6, 2, unhealthy
23, 56, 29, 12, 3, moderate
66, 60, 26, 14, 2, moderate
99, 48, 25, 14, 3, moderate
90, 57, 45, 12, 4, moderate
102, 55, 54, 9, 4, unhealthy_for_sensitive_groups
87, 40, 47, 4, 2, moderate
78, 19, 38, 5, 1, moderate
45, 47, 33, 2, 2, good
26, 45, 34, 7, 2, good
37, 43, 35, 8, 2, good
48, 61, 46, 14, 4, moderate
100, 60, 56, 13, 3, moderate
111, 29, 35, 5, 2, unhealthy_for_sensitive_groups
81, 41, 29, 4, 3, moderate
82, 40, 34, 3, 2, moderate
95, 35, 30, 2, 2, moderate
49, 30, 27, 3, 3, good
66, 58, 23, 4, 2, moderate
120, 73, 34, 5, 4, unhealthy_for_sensitive_groups
154, 67, 42, 5, 3, unhealthy
146, 97, 54, 8, 5, unhealthy_for_sensitive_groups
179, 55, 46, 4, 2, unhealthy
96, 22, 37, 3, 1, moderate
69, 27, 35, 4, 1, moderate
112, 35, 38, 7, 1, unhealthy_for_sensitive_groups
116, 17, 31, 5, 1, unhealthy_for_sensitive_groups
57, 24, 32, 2, 1, moderate
28, 17, 32, 3, 1, good
27, 38, 40, 9, 4, good
90, 48, 37, 12, 3, moderate
